YEAR,REPDTE,REPDTE_CLEAN,NAME,CERT,CITY,STALP,ASSET,DEP,ROA,ROE,NIM_PERCENT,NIM_DOLLARS,EEFFR,NALTOT,NAASSET,HAS_FULL_HISTORY
2024,20240331,3/31/2024,F&M BANK,9963,CLARKSVILLE,TN,1827891,1617555,0.515016388,6.3,2.828863352,11732,81.6894058,,979,N
2026,20260331,3/31/2026,FINANCIAL FEDERAL BANK,31840,MEMPHIS,TN,1119899,858567,1.036095066,10.6,2.568336691,6999,55.14163756,,644,N
2026,20260331,3/31/2026,FIRST CAPITAL BANK,34966,CHARLESTON,SC,1240094,1047472,1.122346437,12.14,3.488472422,9855,53.63011081,,1075,N
2020,20200331,3/31/2020,FIRST CITIZENS NATIONAL BANK,4972,DYERSBURG,TN,1833341,1498933,1.184610346,9.92,3.26005154,13786,66.05447559,0,2769,N
2022,20220331,3/31/2022,FIRST CITIZENS NATIONAL BANK,4972,DYERSBURG,TN,2285852,2010769,1.331513592,13.69,3.212797679,17051,59.53065578,0,2051,N
2024,20240331,3/31/2024,FIRST CITIZENS NATIONAL BANK,4972,DYERSBURG,TN,2385314,2057724,0.634053112,8.07,2.422449601,13385,75.73643858,,3497,N
2020,20200331,3/31/2020,FIRST COMMUNITY BANK,34047,LEXINGTON,SC,1185200,990113,0.682382871,6.01,3.598792325,9579,70.33523595,0,1738,Y
2022,20220331,3/31/2022,FIRST COMMUNITY BANK,34047,LEXINGTON,SC,1652254,1435622,0.918357635,10.34,2.893983669,10832,68.2617326,0,148,Y
2024,20240331,3/31/2024,FIRST COMMUNITY BANK,34047,LEXINGTON,SC,1885960,1582046,0.667172198,8.72,2.868491819,12375,73.18114208,,56,Y
2026,20260331,3/31/2026,FIRST COMMUNITY BANK,34047,LEXINGTON,SC,2401075,2053452,1.089868142,12.01,3.574260674,18604,69.75584594,,311,Y
2020,20200331,3/31/2020,FIRST FARMERS&MERCHANTS BANK,1487,COLUMBIA,TN,1435927,1256624,0.934536955,9,3.34680172,10884,71.47568013,0,1610,Y
2022,20220331,3/31/2022,FIRST FARMERS&MERCHANTS BANK,1487,COLUMBIA,TN,2141737,1998261,0.739116922,10.75,2.315662098,11171,70.67818693,0,1000,Y
2024,20240331,3/31/2024,FIRST FARMERS&MERCHANTS BANK,1487,COLUMBIA,TN,1881961,1567086,0.741270519,11.14,2.470316893,10716,69.29943584,,945,Y
2026,20260331,3/31/2026,FIRST FARMERS&MERCHANTS BANK,1487,COLUMBIA,TN,1794226,1601354,1.250316001,12.93,3.566579543,14809,61.53761001,,1332,Y
2026,20260331,3/31/2026,FIRST FEDERAL BANK,29782,DICKSON,TN,1098087,969666,1.497730411,14.27,3.195839928,8223,50.42512754,,2685,N
2024,20240331,3/31/2024,FIRST IC BANK,34998,DORAVILLE,GA,1147529,946330,1.911869552,17.34,4.417953959,12245,47.50593824,,1930,N
2022,20220331,3/31/2022,FIRST NB OF PULASKI,15572,PULASKI,TN,1186741,1074420,0.947477807,10.52,3.192919075,8838,60.15533981,0,1014,N
2024,20240331,3/31/2024,FIRST NB OF PULASKI,15572,PULASKI,TN,1391234,1265864,1.024095324,12.96,3.201581012,10279,60.80686695,,577,N
2026,20260331,3/31/2026,FIRST NB OF PULASKI,15572,PULASKI,TN,1507769,1344541,1.336626606,13.96,3.701877829,13216,54.63790023,,2464,N
2022,20220331,3/31/2022,FIRST NB OF TENNESSEE,19502,LIVINGSTON,TN,1284648,1180929,0.548985808,6.96,2.016685386,6327,77.49485597,0,1051,N
2024,20240331,3/31/2024,FIRST NB OF TENNESSEE,19502,LIVINGSTON,TN,1305123,1146725,1.592091419,15.04,3.521689313,11038,58.32188182,,1325,N
2026,20260331,3/31/2026,FIRST NB OF TENNESSEE,19502,LIVINGSTON,TN,1365377,1192924,2.107316528,19.21,4.044130205,13320,51.56165495,,2086,N
2026,20260331,3/31/2026,FIRST PALMETTO BANK,28396,CAMDEN,SC,1078904,972919,1.516926809,16.68,3.542313198,9026,53.00208768,,1155,N
2024,20240331,3/31/2024,FIRST RELIANCE BANK,35214,FLORENCE,SC,1025775,884290,0.667156556,7.27,3.300540756,7573,76.41843972,,169,N
2026,20260331,3/31/2026,FIRST RELIANCE BANK,35214,FLORENCE,SC,1116792,930785,1.336034625,13.39,3.825550809,9766,63.19821495,,1518,N
2020,20200331,3/31/2020,FIRST VOLUNTEER BANK,10307,CHATTANOOGA,TN,1035417,893987,1.612308165,12.63,4.804967992,11318,59.93845293,0,5053,Y
2022,20220331,3/31/2022,FIRST VOLUNTEER BANK,10307,CHATTANOOGA,TN,1401369,1272195,1.118496862,13.25,3.134605897,10325,59.77245329,0,7756,Y
2020,20200331,3/31/2020,FIRSTBANK,8663,NASHVILLE,TN,6651423,5377141,0.081744349,0.65,3.95069861,56735,69.14320858,0,24547,N
2020,20200331,3/31/2020,FRANKLIN SYNERGY BANK,58714,FRANKLIN,TN,3786014,3138329,0.215521088,1.79,3.164419669,28519,59.45375026,0,27434,N
2022,20220331,3/31/2022,GEORGIA BANKING CO,57071,ATLANTA,GA,1203461,1087748,-0.217943785,-2.36,3.09977318,8813,100.858118,0,3221,N
2024,20240331,3/31/2024,GEORGIA BANKING CO,57071,ATLANTA,GA,1717267,1418223,0.480179473,5.34,4.130405875,16773,76.80269852,,2794,N
2026,20260331,3/31/2026,GEORGIA BANKING CO,57071,ATLANTA,GA,2675774,2244675,1.252238301,12.83,4.345313041,27769,59.10004539,,17368,N
2022,20220331,3/31/2022,GRANDSOUTH BANK,34812,GREENVILLE,SC,1252931,1116171,1.453843166,14.28,4.575279049,13478,56.48443594,0,575,N
2020,20200331,3/31/2020,HERITAGE SOUTHEAST BANK,30846,JONESBORO,GA,1324338,1135333,0.550133343,4.65,4.274634338,12431,72.46306904,0,15317,N
2022,20220331,3/31/2022,HERITAGE SOUTHEAST BANK,30846,JONESBORO,GA,1695380,1469142,0.985448215,8.47,3.338778377,12680,68.1929437,0,1897,N
2020,20200331,3/31/2020,HOME FEDERAL BANK OF TN,29683,KNOXVILLE,TN,2263890,1767354,0.376678141,2.06,2.282768575,12470,81.2584028,0,3216,Y
2022,20220331,3/31/2022,HOME FEDERAL BANK OF TN,29683,KNOXVILLE,TN,2830154,2291414,0.262547736,1.71,1.902775485,12984,85.00160102,0,3727,Y
2024,20240331,3/31/2024,HOME FEDERAL BANK OF TN,29683,KNOXVILLE,TN,3506815,2155821,-0.128156875,-0.91,1.304972036,10036,109.9009901,,61865,Y
2026,20260331,3/31/2026,HOME FEDERAL BANK OF TN,29683,KNOXVILLE,TN,2730496,2163072,0.238214228,1.43,2.250011985,14843,86.82631341,,58523,Y
2020,20200331,3/31/2020,INDEPENDENT BANK,34728,MEMPHIS,TN,1111405,902906,1.177333098,9.6,4.555685594,10583,66.06424333,0,6177,Y
2022,20220331,3/31/2022,INDEPENDENT BANK,34728,MEMPHIS,TN,1287101,1135330,1.18886087,10.36,4.314690241,11821,66.41120673,0,8895,Y
2024,20240331,3/31/2024,INDEPENDENT BANK,34728,MEMPHIS,TN,1445495,1175220,1.172853153,10.41,4.640146229,14546,68.19448095,,5938,Y
2026,20260331,3/31/2026,INDEPENDENT BANK,34728,MEMPHIS,TN,1678841,1426089,1.263863549,11.36,4.628955248,15730,61.72856178,,6174,Y
2026,20260331,3/31/2026,INSBANK,35521,NASHVILLE,TN,1077643,924426,0.885797121,9.07,3.487750592,8744,61.31159333,,2272,N
2026,20260331,3/31/2026,LAWRENCE BANK,22451,NASHVILLE,TN,3072746,2647323,1.198833718,10.39,3.887600529,27172,66.05757855,,3842,N
2020,20200331,3/31/2020,METRO CITY BANK,58181,DORAVILLE,GA,1608456,1279441,2.426510135,19.26,4.18248167,15854,42.97087875,0,10944,Y
2022,20220331,3/31/2022,METRO CITY BANK,58181,DORAVILLE,GA,3146101,2427139,2.491690132,26.84,4.080251696,30240,30.71905656,0,9506,Y
2024,20240331,3/31/2024,METRO CITY BANK,58181,DORAVILLE,GA,3615824,2844969,1.656408963,15.19,3.245831943,27078,37.60587066,,13297,Y
2026,20260331,3/31/2026,METRO CITY BANK,58181,DORAVILLE,GA,4633553,3658600,1.915620109,18.08,4.038970628,44486,41.38864903,,16824,Y
2020,20200331,3/31/2020,MORRIS BANK,17910,DUBLIN,GA,1020171,894212,1.702783312,14.47,4.724501901,11166,52.84539868,0,12344,Y
2022,20220331,3/31/2022,MORRIS BANK,17910,DUBLIN,GA,1437184,1261548,1.714306009,14.44,4.130489341,13969,54.67713119,0,3307,Y
2024,20240331,3/31/2024,MORRIS BANK,17910,DUBLIN,GA,1428883,1228868,1.536710521,11.75,4.080033248,13744,62.67770966,,2915,Y
2026,20260331,3/31/2026,MORRIS BANK,17910,DUBLIN,GA,1598703,1384107,-0.45028934,-3.51,4.591320384,17228,106.0582219,,7405,Y
2022,20220331,3/31/2022,MOUNTAIN COMMERCE BANK,4931,KNOXVILLE,TN,1398582,1162642,1.456692697,15.41,3.647740437,11942,41.41484581,0,1839,N
2024,20240331,3/31/2024,MOUNTAIN COMMERCE BANK,4931,KNOXVILLE,TN,1802316,1595850,0.441207716,5.32,1.691989044,7006,74.73806752,,805,N
2026,20260331,3/31/2026,MOUNTAIN COMMERCE BANK,4931,KNOXVILLE,TN,1781141,1536031,0.28770098,3.33,2.586929887,10742,67.02317291,,5199,N
2022,20220331,3/31/2022,ONE BANK OF TENNESSEE,8432,COOKEVILLE,TN,1491033,1373560,0.971335347,14.89,2.557080056,8648,65.82897902,0,114,Y
2024,20240331,3/31/2024,ONE BANK OF TENNESSEE,8432,COOKEVILLE,TN,1563931,1433499,1.126855165,18.88,2.890589772,10489,63.28187287,,45,Y
2026,20260331,3/31/2026,ONE BANK OF TENNESSEE,8432,COOKEVILLE,TN,1670707,1492356,2.055902423,23.64,4.116421605,16015,49.80578555,,45,Y
2022,20220331,3/31/2022,PEOPLESSOUTH BANK,21292,COLQUITT,GA,1035674,976176,1.279891047,19.07,3.515275957,8650,55.06700168,0,2642,N
2024,20240331,3/31/2024,PEOPLESSOUTH BANK,21292,COLQUITT,GA,1100857,1049989,1.063182092,26.39,3.567683528,9284,62.28677259,,7554,N
2026,20260331,3/31/2026,PEOPLESSOUTH BANK,21292,COLQUITT,GA,1204901,1120430,1.653551125,26.57,4.21170474,11719,49.6604012,,7548,N
2020,20200331,3/31/2020,PIEDMONT BANK,58374,PEACHTREE CORNER,GA,1050569,886699,1.481429879,12.55,4.183802892,10267,51.87264194,0,2517,N
2022,20220331,3/31/2022,PIEDMONT BANK,58374,PEACHTREE CORNER,GA,1807276,1608020,1.079198122,10.82,3.425490374,14547,56.31646892,0,943,N
